Var1,Var2
curvw,10
cgy,0.10203492902464
curvp,10
constelab,1.35299612080714
constepinf,0.673952427835995
constebeta,0.290955503993191
cmaw,0.912486696603968
cmap,0.854188595817647
calfa,0.266225436656765
czcap,0.264086097097002
csadjcost,11.1133415587989
ctou,0.025
csigma,1.0048098006463
chabb,0.888452650973738
ccs,NaN
cinvs,NaN
cfc,2.11182043918388
cindw,0.525495622182264
cprobw,0.783788394068199
cindp,0.242564332194512
cprobp,0.521855668611422
csigl,3.43344470526464
clandaw,1.5
crdpi,NaN
crpi,1.95496374441815
crdy,0.10511205301728
cry,0.109551529320461
crr,0.884347781470898
crhoa,0.490365
crhoas,NaN
crhob,0.345484513538517
crhog,0.952231955731416
crhols,NaN
crhoqs,0.546570039424907
crhoms,0.222981518396556
crhopinf,0.971619810430239
crhow,0.97230112438429
ctrend,0.504409054755733
cg,0.18
