Var1,Var2
curvw,10
cgy,0.597117363553269
curvp,10
constelab,1.15818004595756
constepinf,0.655846992412209
constebeta,0.136453518408771
cmaw,0.923474768409117
cmap,0.828797364227924
calfa,0.201823276543715
czcap,0.378808315956865
csadjcost,6.36485320497282
ctou,0.025
csigma,1.25504096783182
chabb,0.787844605055071
ccs,NaN
cinvs,NaN
cfc,1.66005479255716
cindw,0.521685072714485
cprobw,0.764931086795195
cindp,0.205256211735776
cprobp,0.555538122471057
csigl,2.52182000909558
clandaw,1.5
crdpi,NaN
crpi,1.89836680345952
crdy,0.136480145562611
cry,0.126318714193869
crr,0.875855435379344
crhoa,0.980733405998199
crhoas,1
crhob,0.21559082817294
crhog,0.966610320119874
crhols,0.9928
crhoqs,0.631253486292882
crhoms,0.205320208668782
crhopinf,0.978980348968036
crhow,0.977870347236677
ctrend,0.506028277345123
cg,0.18
